Gene	Mean	Std	Median	Max	Min	CV
ENSG00000186417	1.2951711499136858	0.6919531086657316	1.1511024425724519	3.829674618097608	0.2461124233952864	0.5342519914776749
ENSG00000204929	-0.007088247854276598	0.05076384426148722	-0.008805651318571	0.1178937602118046	-0.146046875923055	-7.171809366751162
ENSG00000239440	-0.09956210053310248	0.04614055422005472	-0.10424622144559445	0.0233311490085061	-0.2391350862976047	-0.4634814732483955
ENSG00000166828	1.616290123360481	1.0259521983063933	1.3367529008760184	5.167853437242898	-0.0724817550800163	0.6347535234813422
ENSG00000168447	0.7478346381365945	0.5907733674029684	0.6573794610613367	3.844579857189706	-0.2524100830678651	0.7899680458697935
ENSG00000184584	4.114651984990515	1.1633319738080032	4.042773376639862	8.723968929512292	0.9730909019245276	0.28272844234875466
ENSG00000188508	0.2627090912787534	0.09629542374094523	0.2617440545329463	0.6968493784039712	0.0164215273381251	0.36653378813179843
ENSG00000276255	0.17327745854820317	0.06227305151461071	0.17306586267011645	0.3563161697630671	-0.0620656292914425	0.35936271462650765
ENSG00000145860	5.283543008920302	1.8279668434814382	4.943324266135532	11.325062011602398	2.351344195108384	0.34597302996586854
ENSG00000164332	4.9903302866222745	1.2426138531247077	4.825185919257304	13.183414649402096	2.49456093007257	0.24900383175388113
ENSG00000048392	28.897714371002216	11.550149412696985	26.547242126065957	72.49335079339325	7.9499797326523325	0.3996906214624681
ENSG00000185924	0.19000475713306622	0.26072094871190366	0.17341438521121325	1.7208623587882146	-0.242851619022853	1.3721089490397964
ENSG00000055163	3.3131466620852916	1.3104300474653192	3.1954154882635972	8.063863000944012	0.4170328276095579	0.39552311620560016
ENSG00000113328	20.319128983639743	7.128110975254867	18.97504748013951	46.4932397754072	6.600388263489959	0.35080772767951296
ENSG00000233695	0.4864480724616849	0.3870535263064102	0.39407861337978967	2.686901697413812	-0.0066847378349663	0.7956564978925206
ENSG00000055917	16.392988720046663	2.604695519226274	16.355897021549843	24.48276673155079	10.09541040434876	0.15889072912822502
ENSG00000119778	1.7732201202926487	0.2786364530293794	1.7386662979747072	2.593876309760041	1.136324392044235	0.15713496507909194
ENSG00000115421	1.5922954946396641	0.19591743413321047	1.5821001573183127	2.3320530330161784	1.0907612488546372	0.12304010429703768
ENSG00000115839	3.317200265607012	0.42141489560075707	3.278973011035589	5.24305375279377	2.020271348611203	0.1270389459390036
ENSG00000169967	2.2430706399077582	0.25626794708377953	2.20895317427941	3.1834544162980003	1.624872281876678	0.11424820959371215
ENSG00000115282	3.4313771684943553	0.6057308203980736	3.40517710516839	7.311336507768916	2.116628913132601	0.17652651556188564
ENSG00000082258	2.1148819219285846	0.37958310288080854	2.088807626452896	3.9513234008425817	1.180533058227773	0.17948108787264366
ENSG00000232973	-0.09248645385453796	0.11681243203567271	-0.1209861553068081	0.5271868232505618	-0.281292640846182	-1.2631586438145037
ENSG00000138032	8.790016138112904	1.5230354413009912	8.672022691533652	17.538271809399145	5.118252855131231	0.1732685907152451
ENSG00000138078	2.06539523880657	0.5027678844464517	1.9598129129878716	4.471158564392323	1.1392839379396285	0.2434233607042463
ENSG00000125637	0.7999189287625698	0.22740598932365041	0.7568131915338477	1.8117091307495388	0.4071804226140717	0.2842827420623861
ENSG00000143952	7.705307049011558	1.3389534749597172	7.469633898752571	16.768737507716253	5.023962852274823	0.17377006895926222
ENSG00000119844	8.051592459013367	1.3181725301193914	7.9769283088529175	12.82686871571576	5.34457657588074	0.1637155506409489
ENSG00000163541	2.753288042740833	0.3051170094203927	2.704784777014938	4.727240454690706	2.171128589400164	0.1108187361789053
ENSG00000113492	0.1120846692654959	0.08450097256492378	0.10446401913797596	0.6301106774830602	-0.0329259305527359	0.753835781118043
ENSG00000115970	0.9911986516969059	0.14371881066201203	0.964812929428793	1.7810157694335484	0.6773066039868036	0.14499349901352426
ENSG00000230268	-0.12615186688179197	0.062265523472422916	-0.12907938016816625	0.0632596897389154	-0.2967360160898312	-0.4936150463887789
ENSG00000217702	0.22136276121325238	0.06093790141644784	0.2257256416763327	0.3821968689890817	0.0516386002756716	0.2752728071984667
ENSG00000261442	0.3254083154823217	0.07172277678148163	0.322294214499115	0.5712731970286673	0.0940506025456159	0.22040178247243727
ENSG00000154227	0.25116018215695396	0.03848355677486065	0.2526893924384698	0.3850907078228452	0.1293097257862628	0.1532170596221992
ENSG00000134249	0.023292923554445878	0.03827488497189494	0.02168701680109645	0.149489020105794	-0.0984484758448077	1.6424928349641614
ENSG00000238062	0.17403645527101239	0.06254012345356579	0.17147496842330828	0.358063271984548	0.0080640753240985	0.35933006136886203
ENSG00000229175	0.22448843414324104	0.048946334226792114	0.22227591024175547	0.419361943535916	0.062080151955347	0.2180252811721704
ENSG00000236772	0.20475680613629985	0.05352689609334171	0.19787357349603207	0.3900508532162617	0.0636742303728576	0.2614041655643755
ENSG00000225605	0.0766837536619593	0.05711626637286643	0.07615502968091245	0.3143438984575549	-0.0592265978737842	0.7447316586513165
ENSG00000162592	0.38844712805247544	0.05881227245378581	0.38568244156438947	0.5524366595619866	0.2664016522711757	0.151399648009139
ENSG00000213130	0.5213175558675602	0.07162397643746261	0.5190761294636521	0.7643191048854994	0.3576438989675568	0.13738766660486715
ENSG00000154240	0.39477989098401417	0.050259916890057287	0.391320861485025	0.5390891227890241	0.265702257436692	0.1273080138014284
ENSG00000105550	0.06087852284772525	0.058408198089255445	0.0630502372054417	0.2044795851837108	-0.1152857467197977	0.9592644944816152
ENSG00000211787	-0.01557811406488374	0.09201934544609242	-0.0180024203664509	0.2526501888600478	-0.2846015494060888	-5.910757402122079
ENSG00000159314	0.45640762762091885	0.12379182371102705	0.434270807600891	0.9787364492502008	0.2074522737778603	0.2712248962782027
ENSG00000225190	3.4044144113575774	0.5063253319800307	3.3238809509593725	5.888009345084273	2.1215203888590897	0.1487256789402835
ENSG00000139737	3.2995681260897918	2.208072907583154	2.8872580550852	18.84609721679862	0.2155966808354801	0.6691985530283108
ENSG00000161653	0.8749978979186245	0.5218366552342805	0.7473895828051579	4.505808563630084	0.1639737016896894	0.5963793658040915
ENSG00000170500	1.755911431825943	1.3117664274988738	1.470429899066269	9.901353263501605	-0.0501260987955319	0.7470530308037744
ENSG00000114529	1.3792822535009404	0.6505891637145038	1.2498005507627923	4.714449196727453	0.255988088763744	0.4716833303914878
ENSG00000136883	0.7206394902535204	0.2543761203742415	0.6678157139766191	2.6497596171768447	0.3869162812742286	0.35298175300832235
ENSG00000196739	1.076308148475525	0.4692746033625246	0.9974263396969294	4.466433209540808	0.385517541369885	0.4359998983824583
ENSG00000204706	0.2692021628381978	0.07880791853055387	0.257389107004236	0.6022703931197579	0.1196354746216204	0.29273535675250706
ENSG00000255974	0.6258959414325149	0.09480266094770087	0.6123027123992248	1.1178899127591015	0.423654234373383	0.15146470846837692
